region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets_json,carbon_offset_metric_tons,existing_installs_count
Acadia Parish,Louisiana,30.4805123,30.1506978,-92.1440654,-92.5980663,30.256188245886,-92.3311168332316,1073.55,28,0.505117639239665,73.6842105263158,126,342,239,315,10620,63,11642,15.75,2910.5,36630.580456543,108467.578613281,71705.285925293,98117.0241271973,3557942.53148193,18455.6897460938,3872863.00060425,"[[0,5],[5,2],[10,5],[15,3],[20,2],[25,1],[40,1],[45,1],[95,1],[245,1],[260,1],[275,1],[305,1],[395,1],[485,1],[525,1]]",2619.89261554345,0
Ada County,Idaho,43.7764109,43.2974477,-115.9987894,-116.5127956,43.6140948172805,-116.308026976064,1161.95,127097,93.4672343458643,86.5394305012733,153143,2188223,1049853,1674283,2865925,37,7931427,9.25,1982856.75,45103525.3784301,792834947.469305,330585247.006018,546688001.708393,964461576.024621,12656.1463867188,2679673297.58676,"[[0,21743],[5,46490],[10,31665],[15,13302],[20,5076],[25,2208],[30,1171],[35,722],[40,541],[45,410],[50,318],[55,260],[60,229],[65,238],[70,146],[75,130],[80,144],[85,126],[90,102],[95,104],[100,93],[105,79],[110,90],[115,68],[120,64],[125,62],[130,65],[135,60],[140,60],[145,42],[150,53],[155,50],[160,38],[165,38],[170,39],[175,24],[180,25],[185,31],[190,39],[195,32],[200,29],[205,28],[210,23],[215,24],[220,24],[225,18],[230,22],[235,15],[240,20],[245,18],[250,18],[255,18],[260,10],[265,19],[270,12],[275,11],[280,15],[285,14],[290,16],[295,14],[300,18],[305,16],[310,13],[315,16],[320,17],[325,10],[330,7],[335,5],[340,15],[345,5],[350,9],[355,6],[360,10],[365,9],[370,6],[375,8],[380,9],[385,3],[390,7],[395,5],[400,7],[405,4],[410,5],[415,5],[420,4],[425,9],[430,4],[435,3],[440,2],[445,6],[450,1],[455,6],[460,5],[465,4],[470,5],[475,2],[480,2],[485,2],[490,5],[495,6],[500,3],[505,4],[510,5],[515,2],[520,2],[525,1],[530,1],[535,4],[540,3],[545,5],[550,2],[555,2],[560,3],[565,7],[570,6],[575,7],[580,2],[590,3],[595,1],[600,1],[605,3],[610,6],[615,3],[620,2],[625,4],[630,5],[635,1],[640,1],[645,2],[650,1],[660,2],[665,1],[670,1],[675,2],[680,4],[685,1],[690,2],[695,2],[700,3],[710,2],[715,4],[720,1],[725,2],[730,2],[740,2],[745,3],[750,1],[755,2],[760,1],[765,1],[770,1],[775,2],[780,3],[785,2],[790,3],[800,4],[810,2],[815,4],[820,2],[825,1],[835,2],[840,2],[845,1],[850,2],[855,2],[865,1],[875,2],[880,2],[885,1],[890,2],[895,1],[905,3],[910,1],[925,1],[930,3],[935,1],[950,1],[955,1],[965,3],[975,1],[980,1],[985,1],[990,3],[995,61],[1000,17]]",712547.487357989,333
Adams County,Colorado,40.0003178,39.738577,-104.3109437,-105.0529788,39.8797209729261,-104.923252190542,1250.35,103951,97.6015076237793,79.3331349070067,44823,1300753,725069,884706,3252408,24,6207759,6,1551939.75,14026374.6903076,504711845.936676,252970693.483832,296886197.216822,1160027119.08416,8740.83139648437,2228622230.4118,"[[0,37831],[5,40975],[10,12770],[15,4216],[20,1837],[25,1017],[30,713],[35,509],[40,391],[45,313],[50,240],[55,204],[60,194],[65,165],[70,157],[75,131],[80,110],[85,86],[90,91],[95,89],[100,73],[105,55],[110,68],[115,68],[120,52],[125,46],[130,54],[135,60],[140,42],[145,39],[150,40],[155,34],[160,32],[165,38],[170,32],[175,16],[180,31],[185,27],[190,27],[195,22],[200,21],[205,15],[210,20],[215,20],[220,24],[225,15],[230,25],[235,22],[240,11],[245,21],[250,23],[255,12],[260,13],[265,17],[270,13],[275,12],[280,3],[285,13],[290,11],[295,19],[300,13],[305,11],[310,12],[315,8],[320,15],[325,13],[330,7],[335,11],[340,6],[345,9],[350,12],[355,7],[360,5],[365,8],[370,9],[375,12],[380,5],[385,7],[390,14],[395,8],[400,4],[405,5],[410,4],[415,8],[420,10],[425,2],[430,9],[435,5],[440,4],[445,4],[450,7],[455,2],[460,1],[465,4],[470,6],[475,8],[480,7],[485,3],[490,5],[495,6],[500,8],[505,3],[510,4],[515,4],[520,3],[525,4],[530,4],[535,5],[540,3],[545,7],[555,5],[560,4],[565,3],[570,3],[580,2],[585,6],[590,3],[595,2],[600,1],[605,2],[610,3],[615,3],[620,5],[630,5],[635,1],[640,2],[645,3],[650,1],[655,2],[660,2],[665,3],[675,2],[680,5],[685,2],[690,2],[695,2],[700,1],[705,6],[710,5],[715,3],[720,1],[725,4],[730,1],[735,4],[740,4],[745,3],[750,7],[760,5],[765,3],[770,4],[775,1],[780,1],[785,2],[790,1],[795,2],[800,2],[805,1],[815,6],[820,2],[825,3],[830,4],[835,3],[840,1],[845,2],[850,2],[855,1],[865,2],[870,2],[875,4],[880,5],[885,4],[895,1],[900,3],[905,2],[915,2],[920,2],[925,3],[930,1],[940,1],[950,1],[960,1],[965,2],[970,1],[975,4],[980,3],[985,2],[990,10],[995,98],[1000,72]]",1356971.86204639,2218
Aiken County,South Carolina,33.8539117,33.2714351,-81.2766168,-82.0072261,33.5175114744845,-81.8016849507973,1099.05,45852,84.1592988390866,83.773957210458,229560,748025,494273,534855,834015,38,2840728,9.5,710182,66091128.7604005,252173476.162312,152419433.312109,167247168.150061,277277476.052875,12029.7356079102,915208682.437764,"[[0,8380],[5,15615],[10,11092],[15,5170],[20,2187],[25,950],[30,479],[35,299],[40,227],[45,167],[50,161],[55,109],[60,75],[65,82],[70,66],[75,61],[80,41],[85,32],[90,27],[95,29],[100,29],[105,17],[110,23],[115,27],[120,23],[125,27],[130,15],[135,14],[140,21],[145,20],[150,12],[155,16],[160,6],[165,21],[170,13],[175,6],[180,10],[185,11],[190,9],[195,12],[200,1],[205,13],[210,5],[215,8],[220,7],[225,10],[230,4],[235,4],[240,2],[245,7],[250,4],[255,4],[260,5],[265,5],[270,5],[275,5],[280,2],[285,6],[290,3],[295,1],[300,1],[305,5],[310,2],[320,3],[330,1],[335,2],[340,1],[345,3],[355,4],[360,1],[365,1],[370,2],[375,4],[380,1],[385,5],[395,1],[400,1],[405,4],[410,1],[415,1],[420,3],[425,3],[430,1],[435,1],[445,1],[450,2],[460,1],[470,1],[475,1],[480,1],[485,1],[495,1],[505,2],[510,2],[515,1],[520,1],[525,2],[530,2],[535,3],[540,1],[565,3],[570,2],[575,1],[585,2],[590,2],[595,1],[600,4],[605,1],[610,1],[615,2],[620,3],[630,2],[635,1],[640,1],[645,1],[650,1],[655,1],[665,2],[670,1],[675,1],[705,2],[740,1],[750,1],[765,1],[790,2],[815,1],[830,2],[850,1],[855,1],[860,2],[865,1],[875,1],[885,1],[890,1],[905,1],[945,1],[955,2],[960,1],[990,7],[995,27],[1000,5]]",537270.050196427,84
Alachua County,Florida,29.9209343,29.4175115,-82.0502802,-82.6559186,29.6679603889753,-82.3887442659292,1110.1,42187,85.0151942398773,67.9263207045905,318870,817366,533464,620748,1692589,47,3983037,11.75,995759.25,92946070.6608765,276872013.440253,165836111.837458,194286049.10404,569631605.779841,14539.1329589844,1299571850.82246,"[[0,6904],[5,10651],[10,8698],[15,5524],[20,2870],[25,1629],[30,919],[35,642],[40,544],[45,399],[50,333],[55,317],[60,269],[65,232],[70,182],[75,174],[80,155],[85,117],[90,114],[95,110],[100,83],[105,75],[110,57],[115,90],[120,73],[125,55],[130,52],[135,43],[140,48],[145,31],[150,45],[155,45],[160,25],[165,22],[170,17],[175,20],[180,23],[185,31],[190,22],[195,15],[200,16],[205,20],[210,15],[215,14],[220,14],[225,10],[230,14],[235,13],[240,8],[245,17],[250,9],[255,19],[260,4],[265,10],[270,8],[275,10],[280,5],[285,9],[290,6],[295,7],[300,11],[305,5],[310,2],[315,5],[320,6],[325,7],[330,7],[335,7],[340,5],[345,8],[350,2],[355,5],[360,5],[365,4],[370,3],[375,1],[380,3],[385,2],[390,6],[395,2],[400,3],[405,3],[410,4],[415,2],[420,1],[425,2],[430,1],[435,2],[440,3],[445,1],[450,3],[455,3],[460,2],[465,1],[475,1],[480,1],[485,5],[490,3],[495,2],[500,2],[505,3],[510,3],[515,1],[520,4],[525,1],[530,2],[535,2],[540,5],[545,6],[555,5],[560,1],[565,3],[570,3],[575,4],[580,1],[585,2],[590,2],[595,3],[605,2],[610,1],[615,2],[620,2],[635,1],[640,1],[650,3],[655,2],[660,1],[665,1],[670,3],[675,3],[680,1],[690,1],[695,1],[700,2],[705,1],[710,1],[720,1],[725,1],[730,1],[750,2],[755,1],[760,1],[765,1],[785,1],[790,2],[795,1],[810,1],[820,1],[830,1],[845,1],[850,1],[855,1],[860,1],[870,1],[875,2],[880,1],[885,1],[890,1],[895,1],[900,1],[905,1],[910,1],[915,1],[920,1],[940,1],[965,1],[980,1],[990,1],[995,34],[1000,14]]",694647.821895251,913
Alamance County,North Carolina,36.2262135,35.8635462,-79.2595408,-79.5385331,36.0828008808048,-79.4208902628439,1088.85,14701,54.5386216466235,77.9232481713135,47191,214689,154680,178776,864799,31,1460135,7.75,365033.75,13267680.6138,72239709.1258488,46991908.8776307,54798064.0251281,282137797.237506,10088.8537841797,469435159.879913,"[[0,3813],[5,5077],[10,2344],[15,1025],[20,466],[25,245],[30,204],[35,176],[40,111],[45,100],[50,69],[55,80],[60,59],[65,54],[70,50],[75,64],[80,46],[85,32],[90,39],[95,38],[100,33],[105,28],[110,28],[115,22],[120,19],[125,14],[130,20],[135,11],[140,12],[145,13],[150,10],[155,19],[160,8],[165,7],[170,11],[175,13],[180,5],[185,13],[190,7],[195,10],[200,5],[205,11],[210,6],[215,8],[220,7],[225,10],[230,3],[235,3],[240,5],[245,10],[250,5],[255,7],[260,4],[265,3],[270,4],[275,1],[280,5],[285,3],[290,4],[295,2],[300,2],[305,4],[310,2],[315,3],[320,3],[325,2],[330,2],[335,4],[340,3],[345,5],[350,1],[355,2],[360,3],[365,4],[370,2],[375,4],[380,1],[385,4],[390,1],[395,2],[400,3],[405,4],[415,2],[420,3],[425,1],[430,3],[435,3],[440,4],[450,1],[455,1],[460,2],[465,1],[470,3],[475,2],[480,2],[485,2],[490,2],[495,1],[515,2],[520,1],[525,6],[545,1],[555,2],[565,4],[570,1],[580,2],[585,1],[590,1],[600,1],[605,2],[630,1],[645,1],[650,1],[655,1],[670,2],[675,1],[680,1],[685,1],[725,1],[745,1],[760,2],[765,2],[770,1],[775,1],[790,1],[795,2],[815,1],[820,1],[830,1],[875,1],[900,1],[925,1],[940,1],[955,1],[960,1],[965,1],[970,1],[975,1],[980,1],[985,1],[990,3],[995,37],[1000,8]]",275580.265738794,16
Alameda County,California,37.9050077,37.4568076,-121.4915636,-122.3395586,37.7058623344541,-122.092567699358,1229.95,329945,94.6758888965064,88.4896061019731,1776692,3801490,3100534,3702571,11709329,36,24090616,9,6022654,569954272.752393,1461432436.32024,1060491902.95413,1330023656.86037,4301219849.85805,13016.2705932617,8723122118.74533,"[[0,68253],[5,111930],[10,74589],[15,35251],[20,12732],[25,5501],[30,3336],[35,2191],[40,1668],[45,1253],[50,1058],[55,884],[60,741],[65,590],[70,548],[75,514],[80,443],[85,412],[90,380],[95,328],[100,310],[105,281],[110,272],[115,230],[120,246],[125,218],[130,204],[135,184],[140,177],[145,161],[150,142],[155,164],[160,151],[165,119],[170,143],[175,116],[180,115],[185,107],[190,101],[195,100],[200,104],[205,91],[210,107],[215,88],[220,93],[225,74],[230,68],[235,78],[240,64],[245,91],[250,76],[255,70],[260,73],[265,50],[270,57],[275,51],[280,53],[285,51],[290,39],[295,40],[300,55],[305,37],[310,34],[315,37],[320,45],[325,42],[330,32],[335,21],[340,30],[345,31],[350,45],[355,31],[360,34],[365,32],[370,33],[375,26],[380,26],[385,37],[390,30],[395,30],[400,22],[405,26],[410,31],[415,22],[420,18],[425,28],[430,24],[435,21],[440,17],[445,19],[450,18],[455,26],[460,18],[465,11],[470,14],[475,24],[480,22],[485,16],[490,16],[495,12],[500,8],[505,18],[510,16],[515,11],[520,17],[525,20],[530,13],[535,19],[540,4],[545,13],[550,8],[555,11],[560,14],[565,13],[570,14],[575,8],[580,14],[585,11],[590,11],[595,6],[600,10],[605,5],[610,9],[615,11],[620,12],[625,16],[630,8],[635,5],[640,9],[645,9],[650,10],[655,6],[660,7],[665,10],[670,9],[675,8],[680,7],[685,11],[690,8],[695,15],[700,10],[705,6],[710,7],[715,10],[720,8],[725,8],[730,6],[735,12],[740,5],[745,3],[750,10],[755,9],[760,9],[765,14],[770,6],[775,2],[780,3],[785,4],[790,7],[795,8],[800,4],[805,8],[810,7],[815,5],[820,12],[825,3],[830,7],[835,7],[840,1],[845,6],[850,6],[855,5],[860,8],[865,3],[870,5],[875,2],[880,2],[885,5],[890,2],[895,9],[900,6],[905,5],[910,6],[915,7],[920,9],[930,5],[935,4],[940,2],[945,5],[950,3],[955,3],[960,4],[965,8],[970,3],[975,3],[980,5],[985,5],[990,21],[995,344],[1000,155]]",2377535.16965215,12126
Albany County,New York,42.8201494,42.435932,-73.6804081,-74.2069154,42.6841101257392,-73.8173261174888,965.6,67635,91.6747973955118,73.4524326672459,105697,865271,613705,514024,2958019,27,5056716,6.75,1264179,26423524.4136536,253874950.583962,167163014.071369,137832247.975177,844231769.888368,7369.36365966797,1429525506.93255,"[[0,21176],[5,27086],[10,9583],[15,3020],[20,1309],[25,709],[30,515],[35,334],[40,305],[45,248],[50,208],[55,174],[60,190],[65,143],[70,138],[75,121],[80,96],[85,102],[90,75],[95,96],[100,72],[105,69],[110,73],[115,81],[120,60],[125,52],[130,45],[135,58],[140,55],[145,51],[150,42],[155,49],[160,44],[165,34],[170,38],[175,31],[180,32],[185,27],[190,22],[195,26],[200,18],[205,15],[210,28],[215,20],[220,20],[225,19],[230,24],[235,23],[240,27],[245,21],[250,25],[255,16],[260,19],[265,12],[270,16],[275,14],[280,7],[285,17],[290,12],[295,12],[300,14],[305,18],[310,12],[315,17],[320,12],[325,12],[330,11],[335,17],[340,7],[345,15],[350,8],[355,9],[360,8],[365,12],[370,6],[375,7],[380,9],[385,6],[390,3],[395,10],[400,4],[405,2],[410,12],[415,4],[420,6],[425,4],[430,4],[435,2],[440,8],[445,8],[450,3],[455,8],[460,5],[465,6],[470,3],[475,4],[480,5],[485,5],[490,7],[495,6],[500,5],[505,7],[510,6],[515,6],[520,4],[525,5],[530,3],[535,2],[540,3],[545,6],[550,4],[555,4],[560,2],[565,6],[570,2],[575,6],[580,3],[585,3],[590,1],[595,3],[600,3],[605,1],[610,5],[615,5],[625,1],[630,3],[640,1],[645,4],[650,2],[655,1],[660,1],[665,2],[670,4],[675,4],[680,3],[685,1],[695,3],[710,1],[715,2],[720,4],[725,2],[730,3],[735,6],[740,1],[750,1],[755,3],[760,1],[765,4],[770,3],[780,1],[785,1],[790,3],[795,1],[800,2],[805,2],[810,2],[825,2],[830,1],[835,3],[840,4],[845,3],[850,1],[865,2],[875,3],[895,3],[900,1],[905,2],[910,1],[920,2],[930,1],[935,1],[940,1],[945,2],[955,2],[960,1],[965,1],[980,2],[985,1],[990,7],[995,93],[1000,54]]",522375.373976814,579
Albemarle County,Virginia,38.2507861,37.7597515,-78.2475923,-78.8214078,38.0652867393978,-78.5016428683636,1051.45,9687,69.2005694809957,60.3927680798005,27231,145439,119780,101783,370226,25,764459,6.25,191114.75,7337486.54462891,47069652.9728884,35909338.9054078,29503240.3952454,115902643.894116,7510.34298706055,235722362.712287,"[[0,3761],[5,2997],[10,1049],[15,438],[20,269],[25,157],[30,115],[35,120],[40,101],[45,73],[50,44],[55,50],[60,37],[65,30],[70,39],[75,27],[80,30],[85,23],[90,18],[95,17],[100,9],[105,9],[110,9],[115,17],[120,7],[125,12],[130,13],[135,3],[140,11],[145,9],[150,9],[155,5],[160,6],[165,4],[170,9],[175,5],[180,6],[185,7],[190,4],[195,1],[200,3],[205,4],[210,4],[215,2],[225,4],[230,2],[235,2],[240,1],[245,6],[250,4],[255,2],[260,3],[265,2],[270,1],[275,2],[280,2],[285,3],[290,1],[295,1],[300,1],[305,2],[315,2],[330,1],[335,1],[340,2],[345,2],[350,2],[355,2],[370,2],[380,3],[385,1],[390,1],[405,1],[415,2],[420,1],[425,1],[465,3],[475,2],[480,1],[500,3],[510,1],[520,1],[525,1],[570,1],[580,1],[590,2],[600,2],[610,1],[630,1],[650,1],[675,2],[680,3],[685,2],[715,2],[730,2],[740,1],[770,1],[790,3],[795,1],[810,1],[835,1],[855,1],[895,1],[990,4],[995,15]]",151268.560535226,13
Alexander County,North Carolina,36.0325277,35.8023081,-81.0392262,-81.3350639,35.8839714974,-81.195150146825,1084.6,652,20.325,80.1968019680197,2908,7638,8618,9453,26710,42,55327,10.5,13831.75,831719.573156738,2610147.69335937,2671945.19832764,2949221.44362793,8730909.03790283,13425.8058227539,17793942.9463745,"[[0,99],[5,204],[10,155],[15,101],[20,37],[25,12],[30,11],[35,5],[40,1],[45,3],[55,2],[60,2],[65,3],[70,1],[75,1],[80,3],[95,1],[100,1],[120,1],[125,1],[205,1],[330,1],[385,1],[470,1],[870,1],[935,1],[995,1],[1000,1]]",10445.8718579094,0
