,region_name,state_name,count_qualified_17,percent_covered_17,percent_qualified_17,existing_installs_count_17,count_qualified_21,percent_covered_21,percent_qualified_21,existing_installs_count_21,CtySt,TotalPop,IncomePerCap,StCtyID,land_area_sqmi,Pct_hmowner,Pct_hmowner_imp,PopDens,pct_install_17,pct_install_21,chg_pct_install,chg_pct_covered,chg_qualified,chg_qualified_pct
0,Ada County,Idaho,127097,93.4672343458643,86.53943050127329,333,133937.0,86.15120334743574,90.2248598835956,333.0,"Ada, Idaho",435117,31642,16001,1052.58,71.3,71.3,413.3814056888788,0.26200461065170694,0.24862435324070273,-0.01338025741100421,-7.316030998428559,6840.0,5.381716326899927
1,Adams County,Colorado,103951,97.6015076237793,79.33313490700671,2218,117399.0,92.90361429105356,87.46172585655857,2223.0,"Adams, Colorado",487850,27487,08001,1167.65,68.1,68.1,417.8049929345266,2.133697607526623,1.8935425344338537,-0.2401550730927693,-4.697893332725741,13448.0,12.936864484228145
2,Aiken County,South Carolina,45852,84.15929883908659,83.77395721045801,84,49051.0,68.37072231911951,86.29662209711469,83.0,"Aiken, South Carolina",165707,26222,45003,1071.03,77.0,77.0,154.71742154748233,0.18319811567652447,0.1692116368677499,-0.013986478808774572,-15.78857651996708,3199.0,6.97679490534764
3,Alachua County,Florida,42187,85.0151942398773,67.9263207045905,913,42833.0,77.90240185853641,68.67454425935131,912.0,"Alachua, Florida",259865,26431,12001,875.02,54.0,54.0,296.9817832735252,2.164173797615379,2.1291994490229498,-0.034974348592429205,-7.1127923813408955,646.0,1.5312774077322397
4,Alameda County,California,329945,94.67588889650641,88.4896061019731,12126,372309.0,96.5853384083993,94.29435437914888,14127.0,"Alameda, California",1629615,41363,06001,739.02,53.0,53.0,2205.1027035804173,3.6751579808756003,3.7944288212210826,0.1192708403454823,1.9094495118928876,42364.0,12.839715710194124
5,Albany County,New York,67635,91.6747973955118,73.4524326672459,579,73592.0,90.31626139077044,79.41382770937422,577.0,"Albany, New York",308580,35278,36001,522.8,57.9,57.9,590.2448355011477,0.8560656464848082,0.7840526144146103,-0.07201303207019794,-1.3585360047413673,5957.0,8.807570045094995
6,Allegheny County,Pennsylvania,283639,84.4980424772298,68.0924258792462,606,338418.0,83.9169810868997,80.46440519186555,604.0,"Allegheny, Pennsylvania",1229605,35280,42003,730.08,62.8,62.8,1684.2058404558404,0.21365186028719604,0.1784775041516704,-0.035174356135525636,-0.5810613903301061,54779.0,19.31292946315563
7,Allen County,Ohio,7412,52.065687121866894,61.5205843293493,4,22217.0,60.23503181754842,85.66085749537322,4.0,"Allen, Ohio",104157,24551,39003,402.5,69.9,69.9,258.7751552795031,0.053966540744738264,0.018004230994283655,-0.03596230975045461,8.169344695681524,14805.0,199.7436589314625
8,Allen County,Indiana,102666,95.8154545257202,77.5329265345578,119,112107.0,83.98210990523253,83.50116939027842,119.0,"Allen, Indiana",367747,26932,18003,657.31,69.7,69.7,559.4726993351692,0.1159098435704128,0.10614859018616143,-0.009761253384251364,-11.833344620487665,9441.0,9.195838934019053
9,Anchorage Municipality,Alaska,19334,78.87992944437451,30.8815308192375,80,48123.0,78.03864686793194,75.80096399206123,80.0,AnchorageAlaska,298225,38977,02020,1704.68,61.0,61.0,174.9448576859,0.41377883521257885,0.16624067493714023,-0.24753816027543862,-0.8412825764425662,28789.0,148.90348608668666
10,Anderson County,Tennessee,14811,84.19466165741991,76.8484408239506,19,17668.0,59.17717319177173,79.24646781789639,19.0,"Anderson, Tennessee",75538,26972,47001,337.16,71.0,71.0,224.04199786451534,0.12828303288096685,0.10753905365632782,-0.020743979224639025,-25.017488465648185,2857.0,19.289717102153805
11,Androscoggin County,Maine,15739,59.6104587760899,66.9602212295256,15,17726.0,54.343347445156326,73.84602566238961,15.0,"Androscoggin, Maine",107317,26276,23001,467.93,65.0,65.0,229.34413266941635,0.09530465722091619,0.08462146000225657,-0.010683197218659624,-5.267111330933574,1987.0,12.624690259864032
12,Angelina County,Texas,10772,95.9025846279086,76.1972129871967,17,14457.0,85.00501962215935,77.608975735452,15.0,"Angelina, Texas",87700,21974,48005,797.78,69.3,69.3,109.93005590513675,0.1578165614556257,0.10375596596804317,-0.05406059548758253,-10.897565005749243,3685.0,34.20906052729298
13,Anne Arundel County,Maryland,72715,57.5976296231145,69.39977285091189,291,79726.0,55.42831134316177,75.24941245316144,291.0,"Anne Arundel, Maryland",564600,43258,24003,414.9,73.9,73.9,1360.8098336948663,0.40019253248985764,0.36500012542959637,-0.03519240706026128,-2.1693182799527264,7011.0,9.641752045657705
14,Anoka County,Minnesota,78420,91.2646601894857,69.1662477178313,61,83234.0,86.15156732858635,72.64332905680797,61.0,"Anoka, Minnesota",344861,34321,27003,423.01,79.7,79.7,815.2549585116192,0.07778627901045651,0.07328735853136939,-0.004498920479087121,-5.113092860899343,4814.0,6.138740117317011
15,Aransas County,Texas,10358,91.40895953757229,81.8749505967908,15,11764.0,77.70707874105216,86.00672612955108,16.0,"Aransas, Texas",24832,29999,48007,252.07,,65.1,98.51231800690285,0.14481560146746475,0.13600816048962938,-0.008807440977835368,-13.701880796520129,1406.0,13.57404904421703
16,Arapahoe County,Colorado,133931,98.8929037743297,82.2459807666327,3395,146272.0,95.78950439018699,89.08811849830681,3426.0,"Arapahoe, Colorado",626612,36951,08005,798.1,65.5,65.5,785.1296829971182,2.534887367375738,2.342211769853424,-0.19267559752231422,-3.1033993841427048,12341.0,9.214446244708096
17,Ascension Parish,Louisiana,30767,71.8030118030118,87.19816347352909,35,33532.0,67.07829093603358,88.18640858405219,35.0,"Ascension, Louisiana",119129,31520,22005,289.98,84.6,84.6,410.81798744741013,0.11375824747294179,0.1043779076702851,-0.009380339802656693,-4.724720866978217,2765.0,8.9869015503624
18,Atlantic County,New Jersey,43597,68.823080833757,73.1923109208428,1186,51171.0,63.412027882637275,80.5880592783911,1185.0,"Atlantic, New Jersey",272926,29941,34001,555.7,66.3,66.3,491.1391038330034,2.7203706677064936,2.315764788649821,-0.40460587905667245,-5.4110529511197285,7574.0,17.3727550060784
19,Autauga County,Alabama,10430,87.5337814427275,82.5680810639645,12,11362.0,70.19271051529115,84.7657415696807,12.0,"Autauga, Alabama",55036,27824,01001,594.44,,65.1,92.58461745508377,0.11505273250239693,0.10561520859003697,-0.009437523912359969,-17.34107092743635,932.0,8.935762224352828
20,Baldwin County,Alabama,31589,64.5245923416692,81.2934273508673,35,46803.0,51.205714604194924,84.90340136054421,35.0,"Baldwin, Alabama",203360,29364,01003,1589.78,79.3,79.3,127.91707028645473,0.11079806261673367,0.07478153109843386,-0.03601653151829981,-13.318877737474281,15214.0,48.16233499002817
21,Baltimore County,Maryland,141673,69.2434457491216,76.80460156457531,710,177889.0,78.3242358477468,82.9802915451895,709.0,"Baltimore, Maryland",828637,37270,24005,598.3,65.6,65.6,1384.9857930803946,0.5011540660535176,0.3985631489299507,-0.10259091712356694,9.0807900986252,36216.0,25.56309247351295
22,Bannock County,Idaho,15445,87.78753480402658,75.3635210305455,6,18620.0,68.95611057225995,81.84615384615384,6.0,"Bannock, Idaho",84113,23872,16005,1111.99,66.5,66.5,75.64186728297916,0.038847523470378766,0.0322234156820623,-0.006624107788316465,-18.831424231766633,3175.0,20.55681450307543
23,Bartholomew County,Indiana,8270,78.16404800197951,65.44792655903771,3,11940.0,76.10165427954927,75.23155440740976,3.0,"Bartholomew, Indiana",81024,29955,18005,406.91,72.4,72.4,199.12019856970826,0.036275695284159616,0.02512562814070352,-0.011150067143456097,-2.0623937224302438,3670.0,44.37726723095526
24,Bay County,Florida,53840,93.15034842980342,74.7269219558911,202,59659.0,94.63227473028415,79.82952644748639,201.0,"Bay, Florida",180117,26742,12005,758.46,70.7,70.7,237.4772565461593,0.37518573551263,0.33691479910826533,-0.038270936404364686,1.4819263004807368,5819.0,10.807949479940564
25,Bay County,Michigan,22659,73.3414123609122,68.0736646037373,9,26226.0,65.51817010061369,77.00619549578647,9.0,"Bay, Michigan",105350,25462,26017,442.3,74.3,74.3,238.1867510739317,0.03971931682775056,0.03431708991077557,-0.005402226916974992,-7.823242260298514,3567.0,15.742089236065139
26,Beaufort County,South Carolina,14352,53.4512692117912,49.0700218818381,24,19809.0,51.66114974642412,58.22237897892602,24.0,"Beaufort, South Carolina",179316,34966,45013,576.28,76.8,76.8,311.16124106337196,0.16722408026755853,0.12115704982583674,-0.04606703044172179,-1.7901194653670771,5457.0,38.02257525083612
27,Beaver County,Pennsylvania,42074,71.2014276513525,79.2876660699143,89,48856.0,68.09383202099738,90.53610807405073,89.0,"Beaver, Pennsylvania",168161,29162,42007,434.71,72.7,72.7,386.83490142853856,0.21153206255644816,0.1821680039299165,-0.02936405862653166,-3.107595630355121,6782.0,16.119218519750916
28,Bell County,Texas,87264,93.8165709278551,90.56133832854219,188,93722.0,74.01336786576373,92.90628283669383,189.0,"Bell, Texas",336506,25017,48027,1051.02,53.9,53.9,320.1708816197599,0.21543821048771544,0.20166022918845095,-0.013777981299264497,-19.80320306209137,6458.0,7.400531719838651
29,Benton County,Oregon,17012,94.66654299230129,83.34313149127959,293,21038.0,66.71880574078648,86.52984000329043,293.0,"Benton, Oregon",88249,30873,41003,675.94,57.3,57.3,130.55744592715328,1.7223136609452152,1.3927179389675826,-0.32959572197763265,-27.94773725151481,4026.0,23.66564777803903
30,Benton County,Minnesota,4927,80.9085133418043,64.4810888627143,9,5495.0,70.52659387108136,68.61031339742789,9.0,"Benton, Minnesota",39360,27018,27009,408.3,,65.1,96.39970609845702,0.18266693728435154,0.1637852593266606,-0.01888167795769094,-10.381919470722934,568.0,11.528313375279074
31,Benton County,Washington,49075,86.0543928308094,80.86308886289109,104,53070.0,73.33062667176156,86.41914997557402,104.0,"Benton, Washington",190529,30511,53005,1700.38,68.1,68.1,112.0508356955504,0.2119205298013245,0.19596758997550406,-0.01595293982582044,-12.723766159047841,3995.0,8.140601120733571
32,Bernalillo County,New Mexico,209236,97.27984478234491,91.9197466052217,2222,221782.0,91.91044126663894,95.45374335578558,2232.0,"Bernalillo, New Mexico",674855,28340,35001,1160.83,63.8,63.8,581.3555817820009,1.0619587451490182,1.006393665852053,-0.0555650792969653,-5.369403515705969,12546.0,5.996100097497562
33,Bexar County,Texas,495410,95.5489656650827,92.62354542463129,1846,521226.0,88.10950831350073,95.77381455498268,1858.0,"Bexar, Texas",1892004,26158,48029,1239.82,58.3,58.3,1526.0311980771403,0.37262065763710867,0.35646725220921444,-0.01615340542789423,-7.439457351581979,25816.0,5.211037322621667
34,Bibb County,Georgia,32131,78.8574784268307,66.4660129907741,76,35010.0,72.3312222271432,71.45627104806613,76.0,"Bibb, Georgia",153923,23426,13021,249.76,51.1,51.1,616.2836322869955,0.23653169835983942,0.21708083404741502,-0.019450864312424404,-6.526256199687495,2879.0,8.96019420497339
35,Black Hawk County,Iowa,27511,93.157564344005,51.495582509733495,8,34465.0,91.71912201167608,61.27764739349975,8.0,"Black Hawk, Iowa",132960,27669,19013,565.77,66.5,66.5,235.00715838591654,0.029079277379957108,0.023211954156390543,-0.005867323223566565,-1.4384423323289184,6954.0,25.277161862527716
36,Blount County,Tennessee,42129,96.30977509280149,79.5968107617896,35,47006.0,86.63323122827623,86.11523312265274,34.0,"Blount, Tennessee",127135,28334,47009,558.71,76.1,76.1,227.5509656172254,0.08307816468465902,0.0723311917627537,-0.010746972921905323,-9.676543864525257,4877.0,11.576348833345202
37,Blue Earth County,Minnesota,8863,77.202495481313,66.9360320217506,5,9847.0,59.75663521735297,72.65014018002066,5.0,"Blue Earth, Minnesota",65767,28283,27013,747.84,60.4,60.4,87.9426080445015,0.05641430666817105,0.05077688636132832,-0.005637420306842729,-17.44586026396002,984.0,11.102335552296061
38,Bonneville County,Idaho,28783,89.019775065295,86.17148673732109,31,30114.0,75.30565602325426,88.73239436619718,31.0,"Bonneville, Idaho",110404,25706,16019,1866.08,69.8,69.8,59.16359427248564,0.10770246325956294,0.10294215315135817,-0.004760310108204768,-13.714119042040736,1331.0,4.62425737414446
39,Boone County,Illinois,13119,77.1761253372462,80.459981600736,21,14179.0,67.23562000977677,85.90730081793396,21.0,"Boone, Illinois",53638,29029,17007,280.72,,65.1,191.0729552579082,0.1600731763091699,0.14810635446787504,-0.011966821841294856,-9.940505327469438,1060.0,8.079884137510481
40,Boone County,Missouri,41421,91.3501125600827,91.960836552551,62,43162.0,74.08348398234556,94.88656348927191,62.0,"Boone, Missouri",174589,28495,29019,685.41,57.5,57.5,254.72199121693586,0.14968252818618574,0.143644872804782,-0.006037655381403745,-17.26662857773715,1741.0,4.203181960841119
41,Bossier Parish,Louisiana,26468,76.9876039229352,85.5766432797698,123,27646.0,66.69155767958866,88.44172878211077,123.0,"Bossier, Louisiana",125698,27235,22015,840.06,66.7,66.7,149.6297883484513,0.46471210518361794,0.44491065615278885,-0.019801449030829088,-10.296046243346538,1178.0,4.450657397612211
42,Boulder County,Colorado,38779,56.507247962909496,68.27769561236711,3783,44589.0,53.23592933749285,77.30543178626536,3830.0,"Boulder, Colorado",316782,42119,08013,726.29,61.6,61.6,436.1646174393149,9.755279919544083,8.589562448137434,-1.1657174714066496,-3.2713186254166473,5810.0,14.982335800304288
43,Bowie County,Texas,17648,89.52813804825779,72.8383342275785,26,18943.0,79.7687118535175,76.28463273195877,26.0,"Bowie, Texas",93635,24761,48037,885.01,61.8,61.8,105.8010643947526,0.14732547597461468,0.13725386686374913,-0.010071609110865548,-9.759426194740286,1295.0,7.337941976427924
44,Boyd County,Kentucky,5979,72.213897733658,77.5385812475684,0,8968.0,77.71618625277162,79.95720399429386,0.0,"Boyd, Kentucky",48486,26420,21019,159.86,,65.1,303.30289002877515,0.0,0.0,0.0,5.50228851911362,2989.0,49.99163739755812
45,Bradley County,Tennessee,26426,75.8049909438519,87.6949625008296,4,27959.0,62.19059658279981,91.66284178086686,4.0,"Bradley, Tennessee",103666,25144,47011,328.76,64.7,64.7,315.324248692055,0.015136607886172708,0.014306663328445223,-0.0008299445577274848,-13.614394361052092,1533.0,5.801104972375691
46,Brazoria County,Texas,87785,86.9794188861986,87.27617987135,111,94053.0,70.64662879075514,91.9042779808087,110.0,"Brazoria, Texas",345995,32343,48039,1357.7,75.8,75.8,254.83906606761434,0.12644529247593553,0.11695533369483163,-0.009489958781103897,-16.332790095443457,6268.0,7.140172011163639
47,Brazos County,Texas,35906,63.045842797274396,91.0972979830014,104,55430.0,79.22405635579855,91.95421366954214,131.0,"Brazos, Texas",214231,25337,48041,585.45,48.2,48.2,365.92535656332734,0.28964518464880523,0.23633411510012628,-0.05331106954867895,16.178213558524156,19524.0,54.3753133181084
48,Brevard County,Florida,174029,84.9317883910099,93.5846073596868,5220,198316.0,88.23762089879803,95.59286413218996,5221.0,"Brevard, Florida",568183,29405,12009,1015.66,77.5,77.5,559.422444518835,2.9995000833194467,2.6326670566167127,-0.366833026702734,3.305832507788125,24287.0,13.955720023674216
49,Bristol County,Massachusetts,107748,83.3712144142558,71.1240783402534,542,132861.0,90.44316093462852,77.13310382063176,559.0,"Bristol, Massachusetts",557016,32406,25005,553.1,62.7,62.7,1007.0800940155486,0.5030255782009875,0.420740473126049,-0.08228510507493847,7.07194652037272,25113.0,23.307161153803317
50,Bristol County,Rhode Island,13534,99.40012628920229,71.64637374272101,31,14915.0,98.86057592707688,78.1380972338642,31.0,"Bristol, Rhode Island",49028,42360,44001,24.16,,65.1,2029.3046357615895,0.22905275602187083,0.2078444518940664,-0.021208304127804445,-0.5395503621254107,1381.0,10.20393084084528
